Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x85ce3e7119cb9a920bd2bc9fa75f92a855a8c5e3aebba4eba535e48c3aa132f5,12753606,1637247636,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x62c510dc0e89042251ce391cd228081ac436c94c,999.854856,0x3070b98d
0xf6d9b56a1627af0816a55a510de9b1f9d84cfcb9d8941de9dbcdcb42c510e87e,12753606,1637247636,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x8cc1547f2aebbbaa9466310355110427449a937f,999.854856,0x3070b98d
0xb468f176a74c6102ebf45afc590415124edfe0725929b51a58c886e3eaf4b847,12753607,1637247639,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x7c027e07ea3569f5c54a96df96e69b41b22e2f2e,999.7416,0x3070b98d
0x5543c5591eec0616a6d04be2d6b8f0a747eace7b75e83ca236799f1386aeb9a2,12753608,1637247642,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x083e2cd0925cbd06e3ee7bd6293e285a3ed52b0b,999.7416,0x3070b98d
0x73b975dee9183aa657349789994f575322199573134cb4a0ddedcd0bac686161,12753608,1637247642,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x2a8a65b31800757175d23a3e820afb960a5839e0,999.856,0x3070b98d
0xa22ab59eb329523c8f0aecca7303b574e9e523b62147fc1b14ae4fd39690724b,12753608,1637247642,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x6da6dcbbd82d8b3b68da9360394157a8a8f3be67,999.85,0x3070b98d
0x28a8e0102a59e14e88b3356de0f3a4818e401e4af71127eedd64dd0634f82a61,12753608,1637247642,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x576f95c83fde51d01332fab86df5f1d858153fd0,999.854856,0x3070b98d
0xb1400ddac739aafa5ca35771a76f3c606b858214aaf59862fd4e01b5234b9e59,12753610,1637247648,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xd4b6ae6db9ea657dae42a84708f1dd2c4197e787,999.7416,0x3070b98d
0x2ccdb400f90a034f141df6aec9ac2d0c3e801458c100e62498961875fc036690,12753610,1637247648,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xba7cf268cd6f327f853f9cdf638548c033ed8888,995.28,0x3070b98d
0x897be340b383f6e1cd839cd778176988edad89182d34e5deac410de2e0ec60ca,12753610,1637247648,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x64fc14b4c793d09df4ce5895a038f4b277c71e81,999.856,0x3070b98d
0x56c15f61c0178210aca2e990b935b8575cda10a10ec156d4471e2021ba5258af,12753610,1637247648,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xf90a8e2e43fb55b1960b6439f9fe481d812a6e02,999.84456,0x3070b98d
0xbe60ff62e94fbd4d020bab41b2338eb2f00d1874beb7a84ced71b649764470a5,12753611,1637247651,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x68e72e56617e02ed619cb48ca65d608079c40b31,998.712,0x3070b98d
0x0a1df690cf7110e277f9d9cb949cf6c8815b523f4cf5594f4e5683b92b0022c5,12753612,1637247654,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x6308399e1d073104cdd04855bf3d26ac27f12019,995.28,0x3070b98d
0x86fec25b4a5a847d1554439ab10a7fff13838b8e6a9013a7a2865158c8f90de3,12753612,1637247654,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x70afd21403a9ac587cd6902a1437af72d19321e6,457.6,0x3070b98d
0xdeab3b85554859b7af49e3aa4433ebe086da7bae38c80c44cf4547c1e7c67385,12753612,1637247654,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x744ef3c4b61909432b88be78f0ce4f6de7f67817,999.84456,0x3070b98d
0xecd6bc8f2e34c28b81de132c93f1ae315edcf1e939b8bd56df7fda47ff2a125f,12753613,1637247657,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x64a8416a3a16aa1a5aa11c9a5a2c995d949f2061,999.856,0x3070b98d
0x7f5b0407f7e99ab6dfc6a1cd9ce969fa45c79a4b70cbe64ee91c3f4d9792006c,12753613,1637247657,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xd9a3e53770638ee81d6ce54b43f80e537648ec38,999.856,0x3070b98d
0x18bf455208c3732cc54838872ce37e3b67aa0ac67b5a39a17e41d30ce5190b8e,12753613,1637247657,11/18/21 15:00,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xb2c50a787eb8254b8d30df08a2e31863b725ff49,999.854856,0x3070b98d
0xea39fe89d420d37e34dd4c7e141847a1006105ffa32a07c2c12ade538dd91637,12753614,1637247660,11/18/21 15:01,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x8cc1547f2aebbbaa9466310355110427449a937f,503.36,0x3070b98d
0xc9982a7a02af505a35202de3d1173d2aeed2270db956dffddd7c4e57a76a5c93,12753614,1637247660,11/18/21 15:01,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0x7c027e07ea3569f5c54a96df96e69b41b22e2f2e,510.222856,0x3070b98d
0xf250ffd546ee32c14530503c0cf6adf45e30e149f7427178eeec90549a4395f3,12753614,1637247660,11/18/21 15:01,0xee62650fa45ac0deb1b24ec19f983a8f85b727ab,0xa70a251b011e421520247bce1ffcd622e696704b,999.84456,0x3070b98d
